code,w
601318,0.0587
600519,0.0526
600036,0.0267
600276,0.0224
000333,0.022
000858,0.022
000651,0.021
601166,0.0179
600030,0.0145
600887,0.0133
600900,0.0117
000002,0.0115
002475,0.0109
600016,0.0108
601328,0.0108
601288,0.01
000001,0.0097
600000,0.0095
600585,0.0087
603288,0.0086
601398,0.0085
600031,0.0083
002714,0.008
601668,0.008
002415,0.0079
600048,0.0079
601888,0.0076
300498,0.0075
600837,0.0072
000661,0.0071
300059,0.007
601601,0.0068
000725,0.0067
601012,0.0066
000063,0.0064
603259,0.006
002142,0.0059
601688,0.0058
600309,0.0056
601988,0.0056
601169,0.0055
000100,0.0054
601211,0.0054
600009,0.0053
600570,0.0052
002304,0.0049
000338,0.0048
000568,0.0048
300015,0.0048
600104,0.0048
600690,0.0047
601818,0.0046
000876,0.0045
600703,0.0044
601229,0.0044
601766,0.0044
600588,0.0043
600028,0.0042
600919,0.0042
601088,0.0041
002594,0.004
601899,0.004
603986,0.004
001979,0.0039
002027,0.0039
300142,0.0039
002230,0.0038
002241,0.0037
600999,0.0036
601009,0.0036
002007,0.0035
600050,0.0035
000538,0.0034
300347,0.0034
600436,0.0034
600019,0.0033
600406,0.0033
601390,0.0033
601628,0.0033
601939,0.0033
601857,0.0032
002352,0.0031
300122,0.0031
601006,0.0031
000166,0.003
000776,0.003
000895,0.003
002410,0.003
600015,0.003
600547,0.003
601186,0.003
002311,0.0029
002460,0.0029
300003,0.0029
002271,0.0028
601336,0.0028
601989,0.0028
002555,0.0027
300124,0.0027
600438,0.0027
601933,0.0027
600809,0.0026
000157,0.0025
002001,0.0025
002024,0.0025
002044,0.0025
600958,0.0025
603019,0.0025
000938,0.0024
002050,0.0024
002602,0.0024
600196,0.0024
600352,0.0024
603501,0.0024
300136,0.0023
600183,0.0023
600346,0.0023
600741,0.0023
603160,0.0023
300144,0.0022
300413,0.0022
600383,0.0022
600522,0.0022
601155,0.0022
601225,0.0022
601901,0.0022
000425,0.0021
002236,0.0021
002456,0.0021
600660,0.0021
601877,0.0021
002008,0.002
002202,0.002
002736,0.002
600089,0.002
600340,0.002
600886,0.002
601377,0.002
601669,0.002
000783,0.0019
600010,0.0019
601108,0.0019
601985,0.0019
603993,0.0019
000069,0.0018
000768,0.0018
300033,0.0018
600109,0.0018
601138,0.0018
601555,0.0018
002120,0.0017
002493,0.0017
002624,0.0017
600029,0.0017
600111,0.0017
600487,0.0017
600867,0.0017
600893,0.0017
600926,0.0017
603799,0.0017
002916,0.0016
300408,0.0016
300433,0.0016
600637,0.0016
600705,0.0016
600795,0.0016
601607,0.0016
601788,0.0016
603899,0.0016
000625,0.0015
000786,0.0015
000963,0.0015
002607,0.0015
600011,0.0015
600061,0.0015
600118,0.0015
600498,0.0015
600606,0.0015
601111,0.0015
601997,0.0015
002179,0.0014
002422,0.0014
002466,0.0014
600018,0.0014
600115,0.0014
600176,0.0014
600221,0.0014
600271,0.0014
601600,0.0014
601618,0.0014
601800,0.0014
000423,0.0013
000596,0.0013
000656,0.0013
002252,0.0013
600004,0.0013
600068,0.0013
600100,0.0013
600177,0.0013
600332,0.0013
600489,0.0013
000728,0.0012
002508,0.0012
002601,0.0012
300017,0.0012
300070,0.0012
600066,0.0012
600516,0.0012
600674,0.0012
601727,0.0012
601998,0.0012
603833,0.0012
000961,0.0011
002673,0.0011
300024,0.0011
600023,0.0011
600085,0.0011
600170,0.0011
600219,0.0011
600760,0.0011
601066,0.0011
601117,0.0011
601198,0.0011
601838,0.0011
000703,0.001
002081,0.001
002146,0.001
002739,0.001
600208,0.001
600233,0.001
600362,0.001
600535,0.001
600655,0.001
601018,0.001
601021,0.001
601878,0.001
601881,0.001
000413,0.0009
000630,0.0009
002032,0.0009
600027,0.0009
600038,0.0009
600153,0.0009
600369,0.0009
601919,0.0009
603156,0.0009
000671,0.0008
002558,0.0008
002938,0.0008
600297,0.0008
600482,0.0008
600583,0.0008
600663,0.0008
600977,0.0008
600998,0.0008
601992,0.0008
000627,0.0007
000709,0.0007
002153,0.0007
002773,0.0007
601238,0.0007
601633,0.0007
000629,0.0006
000723,0.0006
002010,0.0006
002294,0.0006
600188,0.0006
600398,0.0006
600733,0.0006
600848,0.0006
601216,0.0006
601236,0.0006
601360,0.0006
601577,0.0006
601698,0.0006
601808,0.0006
000898,0.0005
002841,0.0005
600025,0.0005
600372,0.0005
600566,0.0005
600989,0.0005
601319,0.0005
601898,0.0005
000415,0.0004
002468,0.0004
600816,0.0004
600968,0.0004
002411,0.0003
002939,0.0003
002945,0.0003
600299,0.0003
600390,0.0003
601162,0.0003
601212,0.0003
601828,0.0003
603260,0.0003
002958,0.0002
600928,0.0002
601298,0.0002
